Title,Description,Priority,Severity,Category,Component,Service,Files,Effort,Remediation
"[CRIT-1] Delegate Private Key Transmitted in Every HTTP Request","The MemWal SDK class transmits the raw Ed25519 delegate private key in the x-delegate-key HTTP header on every authenticated request. The key propagates through the Rust server AuthInfo struct to the sidecar in SEAL decrypt request bodies. The MemWalManual class authenticates without this header, confirming transmission is architecturally unnecessary. AuthInfo also derives Debug (types.rs:317), creating latent risk of key leakage to logs.",Urgent,Critical,credential_exposure,"SDK / Server Auth / Sidecar",packages/sdk + services/server,"packages/sdk/src/memwal.ts:314, apps/app/src/utils/api.ts, services/server/src/auth.rs:61-64, services/server/src/types.rs:326, services/server/scripts/sidecar-server.ts:324+404",High,"Remove x-delegate-key header from MemWal.signedRequest(). Push SEAL decryption to client following MemWalManual pattern. Implement manual Debug for AuthInfo that redacts delegate_key field."
"[HIGH-1] Sidecar Has Zero Authentication and Binds to All Interfaces","Express sidecar has no authentication on any endpoint and binds to 0.0.0.0 by default. All endpoints (/seal/encrypt, /seal/decrypt, /walrus/upload, /sponsor, etc.) reachable from any host. No shared secret, IP allowlist, or mTLS. Wildcard CORS applied to all responses.",Urgent,High,missing_authentication,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:273-285,811",Low,"Bind to 127.0.0.1 explicitly. Add shared secret middleware (X-Sidecar-Secret header). Remove CORS middleware entirely."
"[HIGH-2] Rate Limiter Fails Open on Redis Unavailability","All three rate limit window checks catch Redis errors and unconditionally allow requests through. record_in_window also swallows recording failures silently. Docker Compose exposes Redis on 0.0.0.0:6379 with no auth, enabling deliberate crash to disable rate limiting.",Urgent,High,security_bypass,Rust Server Rate Limiter,services/server,"services/server/src/rate_limit.rs:240-242,259-261,278-281",Low,"Return 429 when Redis unreachable. Implement in-memory token-bucket fallback. Bind Redis to 127.0.0.1 in Docker Compose."
"[HIGH-3] Analyze Endpoint Cost Amplification via Unbounded Fact Extraction","/api/analyze passes user text to LLM with no cap on extracted facts. All facts processed concurrently via join_all with no concurrency bound. Each fact triggers embedding, SEAL encryption, Walrus upload, and DB insert. Rate limit cost is constant 10 regardless of fact count.",Urgent,High,resource_exhaustion,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:391-480,516-534,553-563,593-597",Medium,"Add facts.truncate(20) after parsing. Replace join_all with buffer_unordered(5). Adjust rate limit weight post-extraction."
"[HIGH-4] Unauthenticated Sponsor Proxy Endpoints","POST /sponsor and /sponsor/execute on both Rust server and sidecar are public with no auth, no rate limiting, no body-size restrictions. Accept arbitrary transactionBlockKindBytes and sender values, proxied directly to Enoki API.",Urgent,High,missing_authentication,"Rust Server / Sidecar",services/server,"services/server/src/routes.rs:1011-1060, services/server/src/main.rs:147-150, services/server/scripts/sidecar-server.ts:753-804",Low,"Move behind Ed25519 auth middleware. Add rate limiting. Add body-size limit of 16KB."
"[HIGH-5] SEAL Key Server Verification Disabled in All Client Instances","Every SealClient instance constructed with verifyKeyServers: false. Disables cryptographic verification of SEAL key server identity. Flag set in four separate files across sidecar and SDK. With threshold=1, single compromised server yields all key material.",Urgent,High,crypto_weakness,"TypeScript Sidecar / SDK",services/server + packages/sdk,"services/server/scripts/sidecar-server.ts:67, services/server/scripts/seal-encrypt.ts:96, services/server/scripts/seal-decrypt.ts:117, packages/sdk/src/manual.ts:200",Low,"Set verifyKeyServers: true in all four files. One-line change per file."
"[HIGH-6] Server Wallet Private Keys Transmitted Per-Request to Sidecar","On every Walrus upload, Rust server sends raw private key string in HTTP body to sidecar /walrus/upload. Key traverses plaintext HTTP (localhost but see HIGH-1). Key held in Express req.body accessible to heap dumps and error-logging middleware.",Urgent,High,credential_exposure,"Rust Server / Sidecar",services/server,"services/server/src/walrus.rs:80-81, services/server/scripts/sidecar-server.ts:513-519",Medium,"Load SERVER_SUI_PRIVATE_KEYS at sidecar startup from env vars. Pass key index in request body instead of raw key."
"[HIGH-7] Delegate Private Keys Received in Sidecar Decrypt Request Bodies","/seal/decrypt and /seal/decrypt-batch receive user delegate private key in JSON body. Key forwarded from AuthInfo struct. Key held in SessionKey object for 30-min TTL, accessible via heap dumps.",High,High,credential_exposure,"TypeScript Sidecar / Rust Server",services/server,"services/server/scripts/sidecar-server.ts:324,404, services/server/src/seal.rs:109",High,"Push SEAL decryption to client. Interim: reduce ttlMin from 30 to 2-5 minutes."
"[HIGH-8] Private Key Stored in localStorage in Frontend Apps","Ed25519 delegate private key persisted to localStorage in plaintext by dashboard and chatbot apps. localStorage is unencrypted, has no expiry, accessible to any JS on same origin. Chatbot also sends stored key in POST bodies.",High,High,credential_exposure,"React Dashboard / Chatbot",apps/app + apps/chatbot,"apps/app/src/App.tsx:71-85, apps/chatbot/components/chat.tsx:93-114",Medium,"Use sessionStorage as minimum. Correct solution: non-extractable CryptoKey via Web Crypto API."
"[HIGH-9] File Upload Path Traversal via Unsanitized Filename","Filename extracted from multipart FormData and passed verbatim to Vercel Blob put(). No sanitization of path traversal sequences. No per-user namespace prefix — shared flat key space.",High,High,path_traversal,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(chat)/api/files/upload/route.ts:50-53",Low,"Sanitize filenames. Prefix uploads with user-scoped non-guessable identifier."
"[HIGH-10] Missing Authorization Checks on Destructive Server Actions (IDOR)","deleteTrailingMessages and updateChatVisibility Server Actions perform mutations without verifying requesting user owns affected resources. Any authenticated user can delete others' messages or change chat visibility.",High,High,authorization_bypass,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(chat)/actions.ts",Low,"Verify resource ownership via session.user.id before performing mutations."
"[HIGH-11] User Enumeration via Distinct Registration Response","Registration returns distinct status: user_exists when email already registered. Enables account enumeration for credential stuffing and phishing.",High,High,information_disclosure,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(auth)/actions.ts",Low,"Return generic failure status for both user-exists and general error cases."
"[HIGH-12] Open Redirect via Unvalidated redirectUrl Parameter","Guest sign-in route accepts redirectUrl query param passed directly to signIn() with no validation. Attacker can craft URLs redirecting to malicious sites after auth.",High,High,open_redirect,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(auth)/api/auth/guest/route.ts:7,18",Low,"Validate redirectUrl: reject non-relative paths or different origins."
"[HIGH-13] No Body Size Limit on Unauthenticated Public Endpoints","Public routes bypass auth middleware 1MB limit. Sidecar applies 50MB globally. /seal/decrypt-batch has no array size limit, enabling event loop blocking via thousands of items.",High,High,denial_of_service,"Rust Server / Sidecar",services/server,"services/server/src/routes.rs:1013,1039, services/server/scripts/sidecar-server.ts:274",Low,"Add DefaultBodyLimit::max(16384) to public routes. Reduce sidecar to 10MB. Cap decrypt-batch items at 50."
"[MED-1] No Replay Protection on Authenticated Requests","Signed requests protected only by ±300s timestamp window with no nonce tracking. Captured requests replayable unlimited times within window.",Normal,Medium,replay_attack,Rust Server Auth,services/server,"services/server/src/auth.rs:66-74, packages/sdk/src/memwal.ts:293",Medium,"Add crypto.randomUUID() nonce to signed message. Track seen nonces in Redis with matching TTL."
"[MED-2] Deactivated Accounts Authenticate Successfully","verify_delegate_key_onchain checks key existence but never reads active field. Deactivated accounts pass auth and can invoke non-SEAL endpoints, consuming storage quota.",Normal,Medium,authorization_bypass,Rust Server Sui Auth,services/server,"services/server/src/sui.rs:59-98",Low,"Read and assert account.active == true inside verify_delegate_key_onchain."
"[MED-3] Unbounded Concurrent Blob Downloads in /api/recall","limit parameter passed directly to SQL LIMIT with no upper bound. Extreme limit spawns equal number of concurrent Walrus download and SEAL decrypt tasks via join_all.",Normal,Medium,resource_exhaustion,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:213, 217-266",Low,"Cap body.limit at maximum value (e.g. 100) before database query."
"[MED-4] LLM Prompt Injection in /api/analyze","User text injected without sanitization into LLM user message alongside system prompt. Crafted payload can override instructions, produce arbitrary facts, poison memory store.",Normal,Medium,prompt_injection,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:516-534, 553-563",Low,"Cap accepted extracted facts at 20. Validate response structure before processing."
"[MED-5] Unbounded Fact Count Amplifies Cost in /api/analyze","Extracted facts iterated without ceiling, dispatched concurrently via join_all. Each triggers embedding, SEAL encryption, Walrus upload, DB insert. Rate limit cost constant regardless of fact count.",Normal,Medium,resource_exhaustion,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:593-597, 423-464",Low,"Apply facts.truncate(MAX_FACTS) after parsing. Replace join_all with buffer_unordered(N)."
"[MED-6] Unbounded Concurrent Downloads in /api/restore","Blob downloads dispatched with join_all without concurrency limit. SEAL decryption uses buffer_unordered(3) but downloads are unbounded. Large limit causes simultaneous outbound HTTP connections.",Normal,Medium,resource_exhaustion,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:869-892",Low,"Replace join_all with buffer_unordered(10) for download phase."
"[MED-7] No Body Size Limit on Public Sponsor Endpoints","Unauthenticated /sponsor and /sponsor/execute use raw Bytes extractor bypassing 1MB auth limit. Axum default 2MB applies but repeated large payloads create memory pressure.",Normal,Medium,denial_of_service,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:1013, 1039",Low,"Apply DefaultBodyLimit::max(16384) to public route group."
"[MED-8] Internal Error Messages Returned to Clients","Both Rust server and sidecar return raw internal error strings including DB connection details, sidecar URL, API status codes, and LLM error responses.",Normal,Medium,information_disclosure,"Rust Server / Sidecar",services/server,"services/server/src/types.rs:362-377, services/server/scripts/sidecar-server.ts:314,389,496,632",Low,"Log detailed errors server-side with correlation ID. Return generic message to clients."
"[MED-9] Wildcard CORS on Sidecar","Sidecar sets Access-Control-Allow-Origin: * on every response. Combined with no auth and 0.0.0.0 binding, any browser context can make unrestricted cross-origin requests.",Normal,Medium,cors_misconfiguration,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:277-285",Low,"Remove CORS headers from sidecar entirely."
"[MED-10] SEAL Threshold Hardcoded to 1","All SEAL encrypt/decrypt operations use threshold: 1. Single key server compromise provides complete access to all encrypted memories. Multi-server config provides no threshold benefit.",Normal,Medium,crypto_weakness,"TypeScript Sidecar / SDK",services/server + packages/sdk,"services/server/scripts/sidecar-server.ts:303,375,469, packages/sdk/src/manual.ts:454",Low,"Increase threshold to at least 2. Make configurable via environment variable."
"[MED-11] owner Address Not Validated in Walrus Upload","/walrus/upload accepts owner address with no format validation. No auth means any caller can specify any Sui address as blob recipient at server wallet expense.",Normal,Medium,input_validation,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:503-515",Low,"Validate owner matches Sui address format. Auth on sidecar (HIGH-1) is primary fix."
"[MED-12] 50 MB JSON Body Limit on All Sidecar Endpoints","Express JSON parser configured with 50MB limit globally. Multiple concurrent large payloads can exhaust Node.js heap, making sidecar unresponsive.",Normal,Medium,denial_of_service,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:274",Low,"Reduce global limit to 5-10MB. Consider per-endpoint limits."
"[MED-13] No Array Size Limit on /seal/decrypt-batch","items array has no max size. Each element triggers CPU-intensive EncryptedObject.parse and SEAL key server calls. Thousands of entries can block Node.js event loop.",Normal,Medium,denial_of_service,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:398-497",Low,"Enforce maximum items limit (50-100) at handler entry point."
"[MED-14] Broad Semver Ranges on Security-Critical Dependencies","All sidecar dependencies including @mysten/seal and @mysten/sui use caret semver ranges. Unexpected releases can alter encryption behavior.",Normal,Medium,supply_chain,TypeScript Sidecar,services/server,"services/server/scripts/package.json:10-15",Low,"Pin exact versions for cryptographic dependencies. Commit lockfile."
"[MED-15] Unvalidated sui_address in add_delegate_key","sui_address accepted as caller-supplied input with no on-chain validation it derives from public_key. Duplicate check enforces public_key uniqueness only, not address uniqueness.",Normal,Medium,authorization_bypass,Move Smart Contract,services/contract,"services/contract/sources/account.move:170, 193-201",Medium,"Derive sui_address on-chain from public_key, or require delegate co-signature. Add address uniqueness check."
"[MED-16] Delegate Path Skips Key ID Validation in seal_approve","Owner path requires has_suffix(id, bcs(owner)) binding decryption to specific owner data. Delegate path checks only is_delegate_address with no ID validation.",Normal,Medium,authorization_bypass,Move Smart Contract,services/contract,"services/contract/sources/account.move:385-389",Low,"Apply same has_suffix(id, owner_bytes) check to delegate authorization path."
"[MED-17] Private Key Accepted as Immutable JavaScript String","SDK config types accept private keys as hex strings. JS strings are immutable and cannot be zeroed; key persists in V8 heap until GC.",Normal,Medium,credential_exposure,TypeScript SDK,packages/sdk,"packages/sdk/src/types.ts:13,127, packages/sdk/src/memwal.ts:70",Low,"Accept Uint8Array as alternative input type. Provide destroy() method that zeroes buffer."
"[MED-18] Default Server URL Uses Plaintext HTTP","SDK defaults to http://localhost:8000 with no enforcement or warning for non-localhost HTTP in production. Combined with CRIT-1, private key travels unencrypted.",Normal,Medium,transport_security,TypeScript SDK,packages/sdk,"packages/sdk/src/memwal.ts:72, packages/sdk/src/manual.ts:82",Low,"Emit console warning or throw when serverUrl is non-HTTPS and host is not localhost."
"[MED-19] Rate Limit Check-Then-Record TOCTOU Race","Middleware checks all three rate limit windows before recording any entries. Concurrent requests can complete check phase simultaneously, bypassing limits in burst.",Normal,Medium,toctou,Rust Server Rate Limiter,services/server,"services/server/src/rate_limit.rs:229-286",Medium,"Replace check-then-record with atomic Redis Lua script."
"[MED-20] Endpoint Weight Bypassable via Path Variation","endpoint_weight performs exact string matches. Trailing slash or URL-encoded variant causes expensive endpoints to fall to default weight 1, bypassing 10x cost.",Normal,Medium,security_bypass,Rust Server Rate Limiter,services/server,"services/server/src/rate_limit.rs:93-101",Low,"Normalize paths before matching or attach cost weights as Axum route extensions."
"[MED-21] Storage Quota Check-Then-Write Race Condition","check_storage_quota reads usage from PostgreSQL then caller proceeds independently. Concurrent requests pass same quota baseline before any record consumption.",Normal,Medium,toctou,"Rust Server Rate Limiter / Routes",services/server,"services/server/src/rate_limit.rs:299-328, services/server/src/routes.rs:139-140,417-418",Medium,"Use PostgreSQL advisory lock per owner or Redis reservation system."
"[MED-22] Container Runs as Root / Remote Script Execution in Dockerfile","No USER directive — server and sidecar run as root. Dockerfile fetches and executes remote shell script via curl | bash with no hash verification.",Normal,Medium,container_security,Infrastructure,services/server,"services/server/Dockerfile, services/server/Dockerfile:31",Low,"Add non-root appuser. Replace curl-pipe-bash with official Node.js base image."
"[LOW-1] Query string excluded from request signature","Path signed without query params. No current routes affected but pattern is fragile for future endpoints.",Low,Low,signature_bypass,Server / SDK,services/server + packages/sdk,"services/server/src/auth.rs:93",Low,"Use path_and_query() in signed message."
"[LOW-2] Config fallback account resolution timing side-channel","Response timing may differ between key-not-found and account-not-exist in Strategy 3.",Low,Low,information_disclosure,Server,services/server,"services/server/src/auth.rs",Low,"Normalize response timing across fallback paths."
"[LOW-3] Stale delegate key cache not removed on revocation","Revoked keys re-check on-chain every request but stale row persists in DB indefinitely.",Low,Low,toctou,Server,services/server,"services/server/src/auth.rs:168",Low,"Add TTL-based eviction to delegate key cache."
"[LOW-4] Non-atomic rate limit record pipeline","ZADD + EXPIRE not wrapped in .atomic(). Partial pipeline failure can leave keys with no TTL.",Low,Low,data_integrity,Server Rate Limiter,services/server,"services/server/src/rate_limit.rs:150",Low,"Wrap ZADD + EXPIRE in .atomic() pipeline."
"[LOW-5] AuthInfo derives Debug leaking delegate key","Any {:?} format of AuthInfo prints raw private key hex to logs.",Low,Low,credential_exposure,Server,services/server,"services/server/src/types.rs:317",Low,"Implement manual Debug that redacts delegate_key field."
"[LOW-6] No text length cap on /api/remember","Input bounded only by 1MB body limit. Oversized payloads waste OpenAI embedding quota.",Low,Low,input_validation,Server Route Handlers,services/server,"services/server/src/routes.rs:128",Low,"Add explicit text length validation."
"[LOW-7] Silent result drop in /api/recall","Failed blob downloads silently omitted. Client cannot distinguish errors from empty results.",Low,Low,error_handling,Server Route Handlers,services/server,"services/server/src/routes.rs:228",Low,"Include error indicators in response for failed downloads."
"[LOW-8] Indirect prompt injection via stored memories in /api/ask","User-stored memories injected into LLM context without delimiter. Low risk as it is own data only.",Low,Low,prompt_injection,Server Route Handlers,services/server,"services/server/src/routes.rs:695",Low,"Add clear delimiters between memory context and user query."
"[LOW-9] No timeout on LLM / embedding HTTP calls","reqwest::Client has no configured timeout. Slow LLM responses block handler indefinitely.",Low,Low,denial_of_service,Server Route Handlers,services/server,"services/server/src/routes.rs:547",Low,"Configure timeouts on reqwest clients for LLM and embedding calls."
"[LOW-10] delete_by_blob_id not owner-scoped","Deletes any matching blob_id regardless of owner. Collision risk negligible but exists.",Low,Low,authorization_bypass,Server Data Layer,services/server,"services/server/src/db.rs:150",Low,"Add owner filter to delete_by_blob_id query."
"[LOW-11] Storage quota pre-check uses plaintext byte length","Quota checked against raw text size. SEAL encryption overhead not accounted for.",Low,Low,input_validation,Server Route Handlers,services/server,"services/server/src/routes.rs:139",Low,"Account for SEAL encryption overhead in quota check."
"[LOW-12] Private key hex parsed without validation in sidecar","parseInt(b, 16) returns NaN for invalid hex. Produces silent zero bytes in key material.",Low,Low,input_validation,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:329",Low,"Validate hex string before parsing. Reject invalid input."
"[LOW-13] SessionKey TTL set to 30 minutes","Decrypt session keys remain valid 30 min. Single-request operation needs ≤2 min.",Low,Low,credential_exposure,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:354",Low,"Reduce ttlMin to 2-5 minutes."
"[LOW-14] Metadata/transfer failure after Walrus upload is silent","Upload reports success even when blob object transfer to owner fails.",Low,Low,error_handling,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:620",Low,"Propagate transfer failure as error in upload response."
"[LOW-15] Sponsor digest interpolated directly into Enoki URL path","No format validation before path interpolation.",Low,Low,input_validation,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:793",Low,"Validate digest format before URL interpolation."
"[LOW-16] No packageId format validation","Malformed Move call targets cause opaque transaction errors.",Low,Low,input_validation,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:297",Low,"Validate packageId format at handler entry."
"[LOW-17] epochs parameter accepted without bounds","Caller can request excessive storage epochs increasing SUI cost to server wallet.",Low,Low,input_validation,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:511",Low,"Cap epochs at a reasonable maximum (e.g. 5)."
"[LOW-18] Sensitive values in sidecar console logs","Sender addresses, blob object IDs, and error details logged via console.log/error.",Low,Low,information_disclosure,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:492",Low,"Remove sensitive values from log output. Log only metadata."
"[LOW-19] Contract: deactivate_account not idempotent","Re-deactivating already-deactivated account emits spurious AccountDeactivated event.",Low,Low,logic_error,Move Smart Contract,services/contract,"services/contract/sources/account.move:266",Low,"Add guard: assert!(account.active == true) before deactivation."
"[LOW-20] Contract: deactivation prevents delegate key removal","remove_delegate_key requires active == true. Owner cannot purge compromised key after deactivation.",Low,Low,authorization_bypass,Move Smart Contract,services/contract,"services/contract/sources/account.move:234",Low,"Allow remove_delegate_key on deactivated accounts."
"[LOW-21] Contract: no delegate key label length validation","Labels are arbitrary-length strings. Only Sui 128KB transaction limit applies.",Low,Low,input_validation,Move Smart Contract,services/contract,"services/contract/sources/account.move:170",Low,"Add maximum label length validation."
"[LOW-22] SDK: default server URL is plaintext HTTP","Default http://localhost:8000 used without HTTPS enforcement in non-localhost configs.",Low,Low,transport_security,TypeScript SDK,packages/sdk,"packages/sdk/src/memwal.ts:72",Low,"Warn or throw for non-HTTPS non-localhost URLs."
"[LOW-23] SDK: x-account-id header not part of signed message","Intermediary can swap account hint without breaking signature.",Low,Low,signature_bypass,TypeScript SDK,packages/sdk,"packages/sdk/src/memwal.ts:315",Low,"Include x-account-id in signed message payload."
"[LOW-24] SDK: SEAL encryption ID is owner-scoped not namespace-scoped","Delegates authorized for one namespace can request SEAL decryption across all namespaces.",Low,Low,authorization_bypass,TypeScript SDK,packages/sdk,"packages/sdk/src/manual.ts:457",Low,"Include namespace in SEAL encryption identity."
"[LOW-25] SDK: hexToBytes silently accepts invalid hex","Non-hex characters produce NaN → 0 bytes. Corrupted keys fail silently.",Low,Low,input_validation,TypeScript SDK,packages/sdk,"packages/sdk/src/utils.ts:32",Low,"Validate hex input. Throw on invalid characters."
"[LOW-26] SDK: server error messages propagated verbatim to callers","Internal server details (stack traces, RPC URLs) surface in client-thrown exceptions.",Low,Low,information_disclosure,TypeScript SDK,packages/sdk,"packages/sdk/src/memwal.ts:320",Low,"Sanitize error messages before throwing to callers."
"[LOW-27] Docker Compose: PostgreSQL and Redis exposed to all interfaces","Both services bind 0.0.0.0. Dev credentials hardcoded in committed file.",Low,Low,exposed_services,Infrastructure,services/server,"services/server/docker-compose.yml:16",Low,"Bind to 127.0.0.1. Use secrets management. Add dev-only comment."
"[LOW-28] Docker: container base images not pinned by digest","Mutable tags rust:1.85-bookworm and debian:bookworm-slim allow silent tag mutation.",Low,Low,supply_chain,Infrastructure,services/server,"services/server/Dockerfile:7",Low,"Pin base images by digest."
"[LOW-29] Docker: no resource limits on containers","Runaway queries can consume all host memory and CPU.",Low,Low,container_security,Infrastructure,services/server,"services/server/docker-compose.yml",Low,"Add memory and CPU limits to docker-compose services."
"[LOW-30] App: partial private key exposed in Dashboard code snippets","First and last 8 hex chars of delegate key rendered in copyable SDK examples.",Low,Low,information_disclosure,React Dashboard App,apps/app,"apps/app/src/pages/Dashboard.tsx:170",Low,"Redact key entirely or use placeholder in code snippets."
"[LOW-31] App: key label input accepts arbitrary content","No length or character restriction. Stored on-chain. Potential XSS in non-React consumers.",Low,Low,input_validation,React Dashboard App,apps/app,"apps/app/src/pages/Dashboard.tsx:119",Low,"Add length and character validation to label input."
"[LOW-32] App: no session expiry or key-wipe on inactivity","clearDelegateKeys defined but never invoked on logout or tab close.",Low,Low,credential_exposure,React Dashboard App,apps/app,"apps/app/src/App.tsx (DelegateKeyProvider)",Low,"Invoke clearDelegateKeys on logout and tab close events."
"[LOW-33] Chatbot: cookie set without Secure / SameSite attributes","chat-model cookie sent over HTTP in non-HTTPS deployments.",Low,Low,transport_security,Next.js Chatbot App,apps/chatbot,"apps/chatbot/components/multimodal-input.tsx:51",Low,"Set Secure and SameSite attributes on cookie."
"[LOW-34] Chatbot: file upload endpoint has no rate limit","Authenticated users can upload indefinitely exhausting blob storage budget.",Low,Low,denial_of_service,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(chat)/api/files/upload/route.ts",Low,"Add per-user rate limiting to upload endpoint."
"[INFO-1] Stale cache entries not evicted on delegate key revocation","Performance waste. No security impact due to mandatory on-chain re-verification.",None,Info,performance,Server,services/server,"services/server/src/auth.rs:168",Low,"Add TTL-based eviction."
"[INFO-2] Integer overflow in timestamp subtraction (debug builds)","i64::MIN timestamp causes panic in debug mode. Wraps harmlessly in release.",None,Info,robustness,Server,services/server,"services/server/src/auth.rs:71",Low,"Use checked_sub or saturating_sub for timestamp arithmetic."
"[INFO-3] DelegateKeyRemoved event does not include sui_address","Indexer must correlate with DelegateKeyAdded to determine which address lost access.",None,Info,observability,Move Smart Contract,services/contract,"services/contract/sources/account.move:98",Low,"Include sui_address in DelegateKeyRemoved event."
"[INFO-4] Account registry entries are permanent (no deletion)","Intentional design. Registry grows monotonically with no cleanup path.",None,Info,design_note,Move Smart Contract,services/contract,"services/contract/sources/account.move",None,"Intentional. Document in architecture docs."
"[INFO-5] Missing contract test coverage for five edge cases","No tests for: non-owner key removal, non-owner reactivation, max-key boundary, seal_approve wrong ID, duplicate sui_address.",None,Info,test_coverage,Move Smart Contract,services/contract,"services/contract/sources/account.move",Low,"Add test cases for listed edge cases."
"[INFO-6] Sidecar /health endpoint discloses process uptime","process.uptime() returned in health response. Minor operational disclosure.",None,Info,information_disclosure,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:289",Low,"Remove uptime from health response or restrict to internal callers."
"[INFO-7] SDK health check is unsigned","A MitM can return fake healthy status. No authenticated endpoint validation.",None,Info,transport_security,TypeScript SDK,packages/sdk,"packages/sdk/src/memwal.ts:249",Low,"Document limitation. Consider signed health check."
